Date,Open,High,Low,Close,Volume,Open Interest
19/07/2013,288.65,298.35,288.65,295.15,7279000,22031000
22/07/2013,295,301.2,293.7,298.3,7031000,19702000
23/07/2013,298.6,302.1,294.7,299.1,6795000,16744000
24/07/2013,297.25,301.05,294.9,297.8,8049000,10167000
25/07/2013,297.6,303.45,294.9,300,8490000,3429000
26/07/2013,300.5,301.2,286.8,290.2,6581500,23693000
29/07/2013,289.7,297.4,289.7,295.7,3656000,24105000
30/07/2013,296.5,299.1,284.75,286.5,7056500,23941000
31/07/2013,285.1,294,279.5,292.3,6751000,22943000
01/08/2013,288,294.9,285.5,290.75,5161500,22246000
02/08/2013,289.9,293.5,283.65,291.9,5787500,22371000
05/08/2013,292,307,281.6,286.2,6788500,22973000
06/08/2013,286.2,290.35,281.8,289.05,6495500,24160000
07/08/2013,285.25,288.45,273.65,279.65,21290500,25494000
08/08/2013,286.5,294.75,277.35,280.9,12807000,24446000
12/08/2013,284.1,286.5,279.65,282.7,5168000,24071000
13/08/2013,279.95,294.7,277.45,292.7,8275000,24086000
14/08/2013,297.9,324.3,297.9,319.65,18866500,25649000
16/08/2013,317.5,323.4,311.2,313.6,14482500,26059000
19/08/2013,309.15,309.85,298.2,303.1,8940500,25410000
20/08/2013,299.45,299.7,287.25,289.1,9970500,24820000
21/08/2013,291.25,295.6,279.55,284.55,9092000,26163000
22/08/2013,286,296.35,285.2,293.75,8472500,25659000
23/08/2013,295.2,305.2,295.2,301.05,8461000,25168000
26/08/2013,302.05,304.65,293.65,298.2,6581000,21455000
27/08/2013,295.05,295.4,287.5,290.5,7421000,16809000
28/08/2013,289.25,300.1,286.55,298.65,11061500,12394000
29/08/2013,299.5,308.8,295.55,305.4,8692500,10609000
30/08/2013,309.25,310.4,296,301.35,6719000,18505000
02/09/2013,297.85,304.45,294,302.6,6824500,18904000
03/09/2013,303.05,313.75,297.6,299.15,10094000,18566000
04/09/2013,303.25,315.7,302,313.4,8369500,20507000
05/09/2013,318.25,325.5,316.7,318.95,7487500,19697000
06/09/2013,318.9,322.3,313.45,319.85,5492000,20340000
10/09/2013,323.05,352,323.05,349.5,13338500,22078000
11/09/2013,348.9,349.8,336.65,342.85,11102500,21732000
12/09/2013,343.25,343.3,330.3,334.1,7744000,21287000
13/09/2013,331.9,339.25,331.4,335.5,5925000,21346000
16/09/2013,339.75,341.85,326.4,332.35,6674000,20857000
17/09/2013,331,338.7,330.3,337,4151000,20917000
18/09/2013,340.2,341.95,334.55,338.75,4936000,20326000
19/09/2013,345,353,342.65,350,8183500,18969000
20/09/2013,346.1,355.2,331.95,340.1,10581500,18363000
23/09/2013,336.95,341.95,331.3,334.5,6076500,17250000
24/09/2013,335.8,342.2,334.9,337.4,7325500,14435000
25/09/2013,339.9,347.7,339.9,344.45,9618000,11813000
26/09/2013,344,347.25,340.85,343.6,6517000,7468000
27/09/2013,344.75,349.4,341.1,343.25,3486000,18034000
30/09/2013,341,342.7,333.15,335.9,4092000,17424000
01/10/2013,335.9,343.2,333.7,339.6,4204500,17757000
03/10/2013,339.9,351,337,349.35,6750500,19274000
04/10/2013,347.45,366.4,347.45,353.05,12082500,19887000
07/10/2013,354.15,355.55,346.4,351.15,5724000,19160000
08/10/2013,354.5,362.25,352.85,353.6,6072500,19216000
09/10/2013,352.05,358.9,352.05,357.25,4964000,20159000
10/10/2013,357.45,375.55,354.55,373.65,11224000,21053000
11/10/2013,376.45,390,370.25,385.95,14607000,21465000
14/10/2013,387.3,394.95,386.5,393.25,7818000,21858000
15/10/2013,394.75,395,384.55,391.1,7414500,21645000
17/10/2013,387,387,372.6,375.55,7777000,20016000
18/10/2013,378.15,383.75,376.55,380.9,5230000,19946000
21/10/2013,380.5,392.4,379.8,381.85,5653000,21031000
22/10/2013,383.5,386.65,377.7,381.75,3951500,21338000
23/10/2013,382.5,383.3,369.3,376.15,6318500,19915000
24/10/2013,377.6,385.75,375.35,379.75,6277500,18789000
25/10/2013,378.75,379.95,373.25,376.75,4001500,17461000
28/10/2013,378.5,382.2,375,377.45,5387000,15404000
29/10/2013,378.05,384.5,375.2,382.1,6889500,13069000
30/10/2013,382,384.8,377.5,379.75,5886000,9243000
31/10/2013,379.9,386.5,379.3,381.45,6469500,6016000
01/11/2013,387.55,391.9,386.1,388.2,3866000,16667000
03/11/2013,389.2,396,389,394.6,2776500,17617000
05/11/2013,392.05,403.7,390.55,397.85,8389000,17777000
06/11/2013,398,403.2,392.4,394.15,6101000,18237000
07/11/2013,394.6,397.35,380,383.4,7344000,18116000
08/11/2013,380.15,393.9,374,388.8,14652500,22608000
11/11/2013,378.8,388.3,375.6,379.3,13814500,19503000
12/11/2013,379.75,379.75,361.05,363.1,8167500,19446000
13/11/2013,364.65,372.15,364.6,368.45,5894000,19045000
14/11/2013,373,389.55,373,388.35,9739000,17786000
18/11/2013,391.1,395.55,382.8,393,8553000,16822000
19/11/2013,392.3,396.95,388.6,392.3,5803000,16081000
20/11/2013,388.45,393.3,384.95,386.55,4680500,15348000
21/11/2013,384,387.25,382.1,383.4,4800500,14420000
22/11/2013,383.95,384.95,371.6,374,5782500,14751000
25/11/2013,377.5,387.35,377.5,386.4,5480500,12499000
26/11/2013,387.25,391.25,379.3,389.95,7609500,10822000
27/11/2013,392.7,400.4,392.6,399.7,8529000,7194000
28/11/2013,405.15,405.2,394.6,397.35,8264000,4143000
29/11/2013,402.3,405.45,399.4,402.85,4409000,16422000
02/12/2013,403.25,407.35,399.65,403.45,5646000,17245000
03/12/2013,406,407.2,398.1,402.8,8576500,17849000
04/12/2013,401.1,403.95,394,396,5999000,17387000
05/12/2013,400.7,403.9,391.7,393.75,5433000,18021000
06/12/2013,391.25,397.5,388.45,394.15,4570000,18391000
09/12/2013,399.55,402.6,392.1,395.85,4750500,19222000
10/12/2013,394.3,398.8,391.55,393.2,5281500,19389000
11/12/2013,387.9,390,378.7,380.6,6761000,19622000
12/12/2013,373.9,376,361.55,362.9,11370500,22344000
13/12/2013,366.5,373.3,366.5,371.8,8743000,21398000
16/12/2013,371.1,372.4,367.2,369.2,4075000,20579000
17/12/2013,372.85,376.2,366.45,368.45,4502000,19730000
18/12/2013,368.9,372.75,364.3,370.5,6876500,21302000
19/12/2013,373.1,374.25,365.05,370.35,7381500,19743000
20/12/2013,369.65,377.15,368.6,374.8,6367500,17740000
23/12/2013,374.65,378.8,373.85,376.2,5152000,14878000
24/12/2013,375.8,377.15,371.95,372.85,4943000,10345000
26/12/2013,372.65,376.45,368.2,370.15,6500000,4843000
27/12/2013,374,377.9,372.35,374.95,2977500,17431000
30/12/2013,376.1,381.4,375.5,377.65,3836500,17491000
31/12/2013,378,380.9,377.2,378.7,2793000,16960000
01/01/2014,378.2,381.2,377.2,378.05,1650000,17023000
02/01/2014,376.95,378.95,371.4,374.15,3738500,15377000
03/01/2014,369.5,371,363.05,365.7,4526500,15995000
06/01/2014,370.55,372.45,366.35,368.55,4255500,15472000
07/01/2014,368,371.7,365.55,367.3,3608000,15347000
08/01/2014,369.2,372.75,366.65,371.3,3125000,14949000
09/01/2014,373.3,373.6,365.85,368.8,2610000,14689000
10/01/2014,370,371.4,366.4,367.55,2526500,14757000
13/01/2014,373.25,379.65,371.9,377.1,4625000,14538000
14/01/2014,376.55,376.55,369.05,372.6,3560500,14637000
15/01/2014,373.8,378.8,373.3,378.2,3204000,14917000
16/01/2014,379.15,379.4,368.3,371.2,3890500,15818000
17/01/2014,369.45,374.7,367.35,369.85,3626000,14887000
20/01/2014,373.75,376.95,370.6,375.75,3063500,14588000
21/01/2014,375.6,387.8,373.1,385.2,6494500,15010000
22/01/2014,380.95,387.75,380.05,385.9,4771500,14910000
23/01/2014,386.1,389.5,381.1,384.25,3704500,14363000
24/01/2014,380.05,381.8,369.6,371.05,4659500,13091000
27/01/2014,363.7,363.85,346.4,349.1,8779500,12307000
28/01/2014,348.7,359.9,347,356.45,6781500,11090000
29/01/2014,360.55,362.5,349.8,351.5,4912000,8932000
30/01/2014,349.95,363.6,347.65,359.35,6932500,7588000
31/01/2014,358.9,358.9,348.65,351.35,7393000,18096000
03/02/2014,348.7,351.7,337.6,338.75,5522500,18570000
04/02/2014,334.7,348.65,334.55,347.85,7768500,19327000
05/02/2014,345.5,360,341.75,357.1,8824500,19980000
06/02/2014,357,361.9,350.2,358.1,7437000,20907000
07/02/2014,360.5,364.85,357.55,361.95,5660000,21912000
10/02/2014,364.75,367.9,360.9,365.15,7089500,21625000
11/02/2014,383,384.8,371.15,375.2,13322500,21166000
12/02/2014,377.85,383.4,376.25,377.65,6888500,20481000
13/02/2014,381.4,384.7,376.5,377.6,7996000,20796000
14/02/2014,382.7,390.45,381.25,389.3,9387000,20638000
17/02/2014,394.05,396,384.75,387.7,9205500,20241000
18/02/2014,387.1,395.6,386,392.75,5887000,21324000
19/02/2014,393.5,393.8,388.7,392.65,4470500,21368000
20/02/2014,391.95,395.5,390.1,392.35,5190500,20110000
21/02/2014,395.75,398.4,393.7,397.15,6756500,19077000
24/02/2014,398.55,401.45,394.8,397.5,7953500,14702000
25/02/2014,398.85,399.8,394,398.85,6159500,10238000
26/02/2014,397.5,402.65,396.25,401.15,8436000,5077000
28/02/2014,414.1,419.4,407,418.2,8886500,19584000
03/03/2014,415.55,416,409.55,411.65,4815000,18810000
04/03/2014,412.1,422.8,408.25,415.85,6357500,19042000
05/03/2014,416.15,418.4,409.7,412.55,4370500,19061000
06/03/2014,413.4,414.8,407.1,411.45,6641000,20091000
07/03/2014,410,418.45,407.7,411.5,7784000,19999000
10/03/2014,405.25,408.9,396.2,398.55,6519000,19955000
11/03/2014,398.2,407,396.75,400.5,7244500,20180000
12/03/2014,398.9,399.45,390,391.25,4387500,20328000
13/03/2014,391.2,398.75,387.35,390.1,4840500,19837000
14/03/2014,386.2,396.45,385.5,395.4,3889500,19782000
18/03/2014,397.2,399.45,382.6,383.45,5951500,20377000
